pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
159,3,0,0,42.5945044,-83.0884992,34.0769996643066,0,0,148968825000000,0,0,0,0,,,,,,,,,,,,,,,
160,3,159,0,42.5944836,-83.0885089,31.9179992675781,198.959762573242,198.959762573242,148979710000000,0,0.005590250249952,0,0,10.885,0.060849873970728,-2.3105626759,-0.0197703711,-0.7961718504,-0.057548584601088,42.5944834,-83.0885096,-0.0000002,-0.0000007,-0.0197704,-0.057548585101988,0.060849874374295,,
161,3,160,0,42.5944988,-83.0885043,36.2150001525879,12.604024887085,12.604024887085,148989079000000,0,0.148227378726006,0,0,9.369,1.38874231128395,1.6884881092,0.3030399548,0.3775660322,1.35527561513072,42.5945015,-83.0884878,0.0000027,0.0000165,0.3030400,1.35527561528726,1.38874231149592,,
162,3,161,0,42.5945244,-83.0885019,31.9689998626709,5.37691402435303,5.37691402435303,148999851000000,0,0.234358876943588,0,0,10.772,2.52451382243633,2.8437694471,0.2365650399,0.1969909734,2.51340546302787,42.5945265,-83.0884713,0.0000021,0.0000306,0.2365650,2.51340546261769,2.52451382202827,,
163,3,162,0,42.5945351,-83.0884964,39.8610000610352,14.2762746810913,14.2762746810913,149009824000000,0,0.155964538455009,0,0,9.973,1.55543434201181,1.1886067615,0.3835665884,0.4514376475,1.50739930495381,42.5945386,-83.0884780,0.0000035,0.0000184,0.3835666,1.50739930453632,1.55543434153052,,
164,3,163,0,42.5945003,-83.0885521,28.7730007171631,233.176559448242,233.176559448242,149019910000000,0,0.472791403532028,0,0,10.086,4.76857409602404,-3.8657490922,-3.8171779222,-4.5718321756,-2.85805031793555,42.5944659,-83.0885869,-0.0000344,-0.0000348,-3.8171779,-2.85805031766059,4.76857409601113,,
165,3,164,0,42.5944896,-83.0885745,27.1620006561279,243.517074584961,243.517074584961,149028660000000,0,0.173395067453384,0,0,8.75,1.51720684021711,-1.1886067607,-1.3580022183,-1.8385824181,-0.676569709035771,42.5944774,-83.0885827,-0.0000122,-0.0000082,-1.3580022,-0.676569708465223,1.5172068401906,,
166,3,165,0,42.5944955,-83.0885694,27.306999206543,290.552825927734,290.552825927734,149029970000000,0,0.071254462003708,0,0,1.31,0.093343345224857,0.6553999895,-0.0874019391,0.4186058182,0.032770125802523,42.5944947,-83.0885690,-0.0000008,0.0000004,-0.0874019,0.03277012562589,0.09334334534271,,
167,3,166,0,42.5944999,-83.0885608,24.5499992370605,37.8646278381348,37.8646278381348,149031046000000,0,0.144069626927376,0,0,1.076,0.155018918573857,0.4887728739,0.0951502919,0.7058843216,0.122381726862786,42.5945008,-83.0885593,0.0000009,0.0000015,0.0951503,0.122381726357136,0.155018918308485,,
168,3,167,0,42.5945043,-83.0885551,22.3430004119873,41.03857421875,41.03857421875,149033341000000,0,0.209814935922623,0,0,2.295,0.48152527794242,0.4887728731,0.3161536006,0.4678535621,0.363198973208548,42.5945071,-83.0885507,0.0000028,0.0000044,0.3161536,0.363198973122337,0.481525277649685,,
